Output data:
OUT[1][17][8] = 164389056.000000
OUT[1][17][9] = 164420112.000000
OUT[1][17][10] = 164451136.000000
OUT[1][17][11] = 164482176.000000
OUT[1][17][12] = 164513200.000000
OUT[1][17][13] = 164544208.000000
OUT[1][17][14] = 164575232.000000
OUT[1][17][15] = 164606304.000000
OUT[1][18][0] = 164637312.000000
OUT[1][18][1] = 164668336.000000
OUT[1][18][2] = 164699376.000000
OUT[1][18][3] = 164730400.000000
OUT[1][18][4] = 164761440.000000
OUT[1][18][5] = 164792448.000000
OUT[1][18][6] = 164823504.000000
OUT[1][18][7] = 164854512.000000
OUT[1][18][8] = 164885568.000000
OUT[1][18][9] = 164916624.000000
OUT[1][18][10] = 164947648.000000
OUT[1][18][11] = 109746864.000000
OUT[1][18][12] = 110245392.000000
OUT[1][18][13] = 165040704.000000
OUT[1][18][14] = 165071744.000000
OUT[1][18][15] = 165102816.000000
OUT[1][19][0] = 165133824.000000
OUT[1][19][1] = 165164848.000000
OUT[1][19][2] = 165195872.000000
OUT[1][19][3] = 165226912.000000
OUT[1][19][4] = 165257952.000000
OUT[1][19][5] = 165288944.000000
OUT[1][19][6] = 165320016.000000
OUT[1][19][7] = 165351056.000000
OUT[1][19][8] = 165382080.000000
OUT[1][19][9] = 165413136.000000
OUT[1][19][10] = 165444160.000000
OUT[1][19][11] = 165475200.000000
OUT[1][19][12] = 165506224.000000
OUT[1][19][13] = 165537232.000000
OUT[1][19][14] = 165568256.000000
OUT[1][19][15] = 165599328.000000
OUT[1][20][0] = 165630336.000000
OUT[1][20][1] = 165661360.000000
OUT[1][20][2] = 165692400.000000
OUT[1][20][3] = 165723424.000000
OUT[1][20][4] = 110262872.000000
OUT[1][20][5] = 110763792.000000
OUT[1][20][6] = 165816528.000000
OUT[1][20][7] = 165847536.000000
OUT[1][20][8] = 165878592.000000
OUT[1][20][9] = 165909616.000000
OUT[1][20][10] = 165940672.000000
OUT[1][20][11] = 165971712.000000
OUT[1][20][12] = 166002736.000000
OUT[1][20][13] = 166033728.000000
